-12560, 184, -11376, 410, -159, -252
-9504, 5296, -10784, 408, 19, -307
-10352, 10488, 720, 426, 134, -47
2304, 11208, 3608, 203, 254, 136
10896, 6216, 2112, -68, 270, 136
11840, 8008, 2320, -186, 210, 82
16720, 7192, -5704, -248, 199, -82
17008, -3504, -3288, -273, 100, -126
15528, 2672, 5080, -256, 90, -121
15280, -3320, 5104, -290, -33, -85
12912, -8560, 7744, -250, -245, -63
9456, -11840, -1888, -217, -273, -225
5824, -11416, -17008, -76, -79, -479
5200, -2384, -16560, 7, 41, -471
7056, 2856, -14480, -85, 206, -355
8776, 5400, -13376, -117, 245, -284
9056, 3792, -12384, -68, 199, -361
9144, -4616, -13640, -46, 6, -452
3880, -6968, -14824, 43, -113, -469
416, -4464, -16632, 91, 3, -469
4192, 2712, -15904, -13, 202, -369
8112, 4944, -13408, -140, 224, -284
11416, 2488, -10192, -186, 194, -244
13400, -2704, -9336, -183, 50, -354
10224, -5576, -11832, -90, -80, -436
6560, -3992, -15544, -65, 20, -446
11848, 2592, -12160, -166, 197, -278
12656, 5776, -7120, -176, 236, -185
8904, 10064, 13120, -40, 219, 139
4608, 7968, 12000, 86, 37, 273
2416, 696, 15216, 147, -114, 262
2064, 808, 17352, 118, -168, 266
-1184, 4192, 16808, 108, -136, 271
-2312, 4832, 15896, 113, -103, 278
-4328, 3344, 15288, 120, -109, 264
-2072, 4920, 16640, 133, -129, 280
-2464, 6016, 16024, 166, -71, 273
-1184, 4528, 14792, 177, -18, 267
304, 5184, 14512, 141, -30, 271
808, 6424, 13776, 128, 22, 275
4240, 5312, 15032, 101, -16, 278
4584, 5912, 15160, 78, -35, 271
5160, 5120, 14832, 76, -22, 278
4472, 4912, 14904, 85, -28, 274
4152, 4984, 14568, 86, -1, 278
4640, 6240, 14784, 75, -7, 289
4176, 5400, 14888, 78, 3, 290
3928, 4632, 15544, 86, 3, 293
5128, 6256, 14936, 77, 15, 269
4144, 2936, 15992, 60, -78, 272
3736, 1680, 17104, 83, -181, 258
3000, -3832, 15336, 82, -300, 179
7344, -9776, 11048, 6, -379, 42
9336, -10768, 10120, -6, -356, 91
11104, 1888, 12544, -43, -142, 231
10064, 4728, 12936, -51, -56, 258
10232, 6304, 11432, -53, 9, 256
9768, 8560, 10064, -58, 82, 231
12000, 7568, -680, -128, 243, 72
13424, 3024, -9296, -183, 212, -229
13112, -4712, -10112, -208, 9, -337
11920, -5256, -9736, -186, -32, -371
11864, -7072, -9456, -165, -41, -385
11768, -7736, -9360, -177, -70, -380
11264, -6960, -9152, -177, -101, -367
6832, -8296, -15208, -88, 6, -450
-152, 368, -14904, 60, 135, -444
-2952, -6816, -14832, 90, 10, -468
-2184, -13848, -8760, 141, -236, -415
-2504, -14384, 16, 183, -410, -202
-1944, -10648, 14168, 171, -397, 67
